A  number of results for mpi L=2, theta and Bessel
AbVacc maxsum AbVt AbVb A22bVt A22bVb A23bVt A23bVb BbVt BbVb
0.1 1 -0.000362696 -0.000193705 4.61348e-06 3.2025e-06 -8.35406e-06 -5.44676e-06 0.0230424 0.0086549
0.01 2 -0.000362696 -0.00029042 4.61348e-06 4.17815e-06 -8.35406e-06 -7.33517e-06 0.0230424 0.0150977
0.001 5 -0.000362601 -0.000341885 4.60944e-06 4.52228e-06 -8.34887e-06 -8.10665e-06 0.0230312 0.0200203
0.0001 10 -0.000362609 -0.000358793 4.60949e-06 4.59818e-06 -8.34883e-06 -8.31058e-06 0.0230317 0.022287
1e-05 20 -0.000362608 -0.000362256 4.60949e-06 4.60875e-06 -8.34883e-06 -8.3457e-06 0.0230317 0.0229389
1e-06 40 -0.000362608 -0.000362597 4.60949e-06 4.60947e-06 -8.34883e-06 -8.34874e-06 0.0230317 0.0230274
1e-07 60 -0.000362608 -0.000362608 4.60949e-06 4.60949e-06 -8.34883e-06 -8.34883e-06 0.0230317 0.0230314
1e-08 100 -0.000362608 -0.000362608 4.60949e-06 4.60949e-06 -8.34883e-06 -8.34883e-06 0.0230317 0.0230317
checking the relation 4*A22bV+3*A23bV=msq*AbV
-6.60854e-06 -6.60854e-06
-6.60854e-06 -6.60854e-06
